movieId,title,genre
1,Sudden Death (1995),Action
2,Fair Game (1995),Action
3,Under Siege 2: Dark Territory (1995),Action
4,Samurai Assassin (Samurai) (1965),Action|Adventure|Drama
5,"Guardian, The (2006)",Action|Adventure|Drama
6,Into the Wild (2007),Action|Adventure|Drama
7,"Book of Eli, The (2010)",Action|Adventure|Drama
8,In the Name of the King III (2014),Action|Adventure|Drama|Fantasy
9,The Huntsman Winter's War (2016),Action|Adventure|Drama|Fantasy
10,"Order, The (2001)",Action|Adventure|Drama|Thriller
11,Colombiana (2011),Action|Adventure|Drama|Thriller
12,"Bourne Legacy, The (2012)",Action|Adventure|Drama|Thriller|IMAX
13,"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western
14,Red Cliff (Chi bi) (2008),Action|Adventure|Drama|War
15,Legionnaire (1998),Action|Adventure|Drama|War
16,Red Tails (2012),Action|Adventure|Drama|War
17,The Pacific (2010),Action|Adventure|Drama|War
18,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western
19,Warcraft (2016),Action|Adventure|Fantasy
20,Untitled Spider-Man Reboot (2017),Action|Adventure|Fantasy
21,Taxi (1998),Action|Comedy
22,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
23,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
24,Hedgehog in the Fog (1975),Animation
25,The Monkey King (1964),Animation
26,Girls Just Want to Have Fun (1985),Comedy
27,"Longest Yard, The (1974)",Comedy
28,4 Little Girls (1997),Documentary
29,Keep the River on Your Right: A Modern Cannibal Tale (2000),Documentary
30,Going Clear: Scientology and the Prison of Belief (2015),Documentary
